2933659835;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
83799712;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
307808859;podemos;;pp,psoe,ciudadanos,PDeCAT;podemos,Cup,erc,IZ
765985943518081033;podemos;;pp,psoe,ciudadanos,PDeCAT;podemos,Cup,erc,IZ
793129335859314688;podemos;;pp,psoe,PDeCAT;ciudadanos,podemos,Cup,erc,IZ
4417148789;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
254691080;podemos;;pp;psoe,ciudadanos,podemos,PDeCAT,Cup,erc,IZ
564766153;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
718782849;podemos;;pp,psoe,ciudadanos,podemos;PDeCAT,Cup,erc,IZ
37888712;pp;podemos;pp;psoe,ciudadanos,PDeCAT,Cup,erc,IZ
1444520108;ciudadanos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
793129335859314688;podemos;;pp,psoe,ciudadanos,PDeCAT;podemos,Cup,erc,IZ
792371456587993088;podemos;psoe;pp,ciudadanos,podemos,PDeCAT,Cup;erc,IZ
701445559;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
267799088;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
4409461121;psoe;psoe,podemos;pp;ciudadanos,PDeCAT,Cup,erc,IZ
1283768113;podemos;;pp;psoe,ciudadanos,podemos,PDeCAT,Cup,erc,IZ
4851462040;psoe;psoe,podemos;pp;ciudadanos,PDeCAT,Cup,erc,IZ
472082313;pp;;pp,psoe,podemos;ciudadanos,PDeCAT,Cup,erc,IZ
715206764766097408;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
525823072;psoe;;pp;psoe,ciudadanos,podemos,PDeCAT,Cup,erc,IZ
411682123;pp;pp;psoe;ciudadanos,podemos,PDeCAT,Cup,erc,IZ
2677332907;erc;;pp,psoe;ciudadanos,podemos,PDeCAT,Cup,erc,IZ
844974229;erc;PDeCAT,Cup,erc;pp,psoe,ciudadanos,podemos;IZ
465686805;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
748704305142697989;ciudadanos;psoe;pp,podemos;ciudadanos,PDeCAT,Cup,erc,IZ
280441465;pp;pp;psoe,ciudadanos,podemos,PDeCAT,Cup,erc;IZ
748819759878156288;podemos;psoe,podemos;pp;ciudadanos,PDeCAT,Cup,erc,IZ
531153629;pp;;psoe,ciudadanos,podemos;pp,PDeCAT,Cup,erc,IZ
103620835;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
3082479237;psoe;psoe;;pp,ciudadanos,podemos,PDeCAT,Cup,erc,IZ
302846232;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
2975466521;ciudadanos;ciudadanos;;pp,psoe,podemos,PDeCAT,Cup,erc,IZ
265549702;pp;;psoe,podemos;pp,ciudadanos,PDeCAT,Cup,erc,IZ
569175932;podemos;podemos;pp;psoe,ciudadanos,PDeCAT,Cup,erc,IZ
374653515;podemos;;pp,IZ;psoe,ciudadanos,podemos,PDeCAT,Cup,erc
249708204;podemos;podemos,IZ;pp,ciudadanos;psoe,PDeCAT,Cup,erc
302313037;psoe;psoe;pp,ciudadanos;podemos,PDeCAT,Cup,erc,IZ
3402692537;pp;podemos;pp;psoe,ciudadanos,PDeCAT,Cup,erc,IZ
2366035111;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
265535989;psoe;psoe;pp;ciudadanos,podemos,PDeCAT,Cup,erc,IZ
387758974;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
1357611038;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
2571412861;podemos;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
550947574;podemos;;pp,psoe,ciudadanos;podemos,PDeCAT,Cup,erc,IZ
204498730;ciudadanos;podemos;pp,ciudadanos;psoe,PDeCAT,Cup,erc,IZ
20661700;psoe;;pp,podemos;psoe,ciudadanos,PDeCAT,Cup,erc,IZ
3292499617;psoe;psoe;pp,podemos;ciudadanos,PDeCAT,Cup,erc,IZ
114236971;psoe;psoe;pp,ciudadanos,podemos,PDeCAT,Cup,erc,IZ;
1104407635;pp;psoe;pp,ciudadanos;podemos,PDeCAT,Cup,erc,IZ
3726776777;podemos;podemos;pp,psoe,ciudadanos,PDeCAT,Cup,erc,IZ;
3955188934;ciudadanos;ciudadanos;pp,psoe,podemos,PDeCAT,Cup,erc;IZ
2299499070;podemos;podemos;pp,psoe,ciudadanos,PDeCAT,Cup,erc,IZ;
419852770;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
3118389964;psoe;podemos;pp,psoe;ciudadanos,PDeCAT,Cup,erc,IZ
701882863902453760;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
2330140744;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
713103950271090692;podemos;podemos;pp,psoe,ciudadanos,PDeCAT,Cup,erc,IZ;
711997669476933633;podemos;podemos;pp,psoe,ciudadanos;PDeCAT,Cup,erc,IZ
439548411;psoe;psoe;pp,ciudadanos,podemos,PDeCAT,Cup,erc,IZ;
705667106;ciudadanos;ciudadanos;;pp,psoe,podemos,PDeCAT,Cup,erc,IZ
